umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,22,7.6,0.5118,369,62,3986,35.4,5.4
2,100,11,4.1,0.3973,869,128,3993,33.7,7.2
2,200,11,10.3,0.6338,878,364,4007,17.4,0.4
5,50,11,1.0,0.1713,888,86,4019,19.2,0.4
5,100,12,5.5,0.4065,805,129,4030,16.4,0.4
5,200,6,1.2,0.1738,2553,363,6557,16.4,0.6
10,50,11,1.0,0.277,889,83,4016,17.2,0.4
10,100,10,1.7,0.2172,1127,135,4021,18.0,0.5
10,200,13,13.4,0.4613,669,309,4021,17.1,0.6
15,50,13,4.4,0.462,575,84,4015,18.8,0.6
15,100,13,5.9,0.458,833,114,4019,18.8,0.6
15,200,7,1.1,0.0662,1644,363,6587,17.7,0.7
20,50,13,4.9,0.3907,584,84,4014,18.8,0.5
20,100,11,3.4,0.0371,868,141,4018,18.8,0.6
20,200,8,5.2,0.2,1063,362,6494,18.9,0.7
30,50,12,2.1,0.3216,784,82,4004,21.3,1.0
30,100,10,2.1,0.0586,1127,144,4022,21.9,0.7
30,200,9,4.5,0.188,888,363,5637,20.7,0.7
