umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,19,7.9,0.4765,375,55,3990,41.7,9.5,0.7766,0.641,0.6169
2,100,13,6.8,0.2766,715,147,3985,41.4,9.9,0.7859,0.6272,0.5831
2,200,11,10.2,0.6174,891,363,3976,41.7,9.7,0.759,0.6296,0.5735
5,50,14,4.9,0.328,623,85,4010,45.4,7.8,0.797,0.6154,0.5621
5,100,16,11.1,0.3784,719,112,4032,25.4,0.6,0.7452,0.658,0.6438
5,200,12,9.9,0.5352,766,305,4026,24.7,0.7,0.7577,0.6482,0.5996
10,50,13,5.1,0.3957,555,87,4019,25.8,0.6,0.7938,0.5881,0.522
10,100,14,8.9,0.4654,783,144,4029,26.0,0.6,0.7629,0.6401,0.6108
10,200,8,3.2,0.2006,1061,363,6582,23.5,0.8,0.8149,0.4855,0.3894
15,50,14,5.5,0.3574,621,87,4012,26.4,0.6,0.7929,0.6171,0.564
15,100,10,2.3,0.5232,1132,126,4026,26.7,0.8,0.8195,0.5592,0.4838
15,200,12,9.8,0.3457,788,304,4040,27.2,1.2,0.7584,0.6469,0.5981
20,50,13,4.6,0.4291,583,86,4031,32.0,0.7,0.7977,0.5858,0.5201
20,100,14,9.2,0.5068,667,112,4027,31.3,0.8,0.759,0.6046,0.5593
20,200,10,7.9,0.3391,838,307,4038,31.2,1.0,0.7701,0.5878,0.5134
30,50,12,1.4,0.383,787,84,4028,35.0,1.2,0.8275,0.5911,0.5275
30,100,10,0.8,0.2679,1137,136,4027,23.5,0.7,0.8326,0.5548,0.4804
30,200,9,5.5,0.2115,893,362,5623,24.5,0.7,0.7973,0.5344,0.448
