Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
77	Spectrogram 1	1	320.000000	320.500000	0	0	5	cluster_5	1.0000
78	Spectrogram 1	1	320.250000	322.500000	0	0	2	cluster_2	0.9633
79	Spectrogram 1	1	322.250000	322.750000	0	0	noise	cluster_noise	0.0000
80	Spectrogram 1	1	322.500000	323.000000	0	0	9	cluster_9	0.9288
81	Spectrogram 1	1	322.750000	323.250000	0	0	5	cluster_5	1.0000
82	Spectrogram 1	1	323.000000	325.000000	0	0	2	cluster_2	0.9637
83	Spectrogram 1	1	324.750000	325.500000	0	0	noise	cluster_noise	0.0000
84	Spectrogram 1	1	325.250000	325.750000	0	0	26	cluster_26	0.9792
85	Spectrogram 1	1	325.500000	326.500000	0	0	noise	cluster_noise	0.0000
86	Spectrogram 1	1	326.250000	329.250000	0	0	5	cluster_5	0.9390
87	Spectrogram 1	1	329.000000	329.750000	0	0	noise	cluster_noise	0.0000
88	Spectrogram 1	1	329.500000	331.250000	0	0	3	cluster_3	0.9902
89	Spectrogram 1	1	331.000000	331.500000	0	0	noise	cluster_noise	0.0000
90	Spectrogram 1	1	331.250000	332.000000	0	0	3	cluster_3	1.0000
91	Spectrogram 1	1	331.750000	332.250000	0	0	26	cluster_26	1.0000
92	Spectrogram 1	1	332.000000	332.500000	0	0	noise	cluster_noise	0.0000
93	Spectrogram 1	1	334.000000	336.250000	0	0	5	cluster_5	0.9833
94	Spectrogram 1	1	336.000000	337.750000	0	0	noise	cluster_noise	0.0000
95	Spectrogram 1	1	337.500000	339.500000	0	0	5	cluster_5	0.9918
96	Spectrogram 1	1	339.250000	340.500000	0	0	noise	cluster_noise	0.0000
97	Spectrogram 1	1	340.250000	341.000000	0	0	3	cluster_3	0.9553
98	Spectrogram 1	1	340.750000	341.250000	0	0	noise	cluster_noise	0.0000
99	Spectrogram 1	1	341.000000	341.500000	0	0	3	cluster_3	0.8707
100	Spectrogram 1	1	341.250000	341.750000	0	0	noise	cluster_noise	0.0000
101	Spectrogram 1	1	341.500000	342.250000	0	0	3	cluster_3	0.9114
102	Spectrogram 1	1	342.000000	343.500000	0	0	noise	cluster_noise	0.0000
103	Spectrogram 1	1	345.000000	345.750000	0	0	5	cluster_5	1.0000
