Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
78	Spectrogram 1	1	284.000000	284.500000	0	0	noise	cluster_noise	0.0000
79	Spectrogram 1	1	284.250000	284.750000	0	0	5	cluster_5	1.0000
80	Spectrogram 1	1	284.500000	285.000000	0	0	noise	cluster_noise	0.0000
81	Spectrogram 1	1	284.750000	285.250000	0	0	2	cluster_2	0.9592
82	Spectrogram 1	1	285.000000	285.500000	0	0	2	cluster_2	1.0000
83	Spectrogram 1	1	285.250000	285.750000	0	0	2	cluster_2	1.0000
84	Spectrogram 1	1	285.500000	286.000000	0	0	2	cluster_2	1.0000
85	Spectrogram 1	1	285.750000	286.250000	0	0	2	cluster_2	1.0000
86	Spectrogram 1	1	286.000000	286.500000	0	0	2	cluster_2	1.0000
87	Spectrogram 1	1	286.250000	286.750000	0	0	noise	cluster_noise	0.0000
88	Spectrogram 1	1	286.500000	287.000000	0	0	noise	cluster_noise	0.0000
89	Spectrogram 1	1	286.750000	287.250000	0	0	noise	cluster_noise	0.0000
90	Spectrogram 1	1	287.000000	287.500000	0	0	noise	cluster_noise	0.0000
91	Spectrogram 1	1	287.250000	287.750000	0	0	26	cluster_26	1.0000
92	Spectrogram 1	1	287.500000	288.000000	0	0	26	cluster_26	0.8601
93	Spectrogram 1	1	287.750000	288.250000	0	0	5	cluster_5	1.0000
94	Spectrogram 1	1	288.000000	288.500000	0	0	5	cluster_5	0.9009
95	Spectrogram 1	1	288.250000	288.750000	0	0	5	cluster_5	1.0000
96	Spectrogram 1	1	288.500000	289.000000	0	0	5	cluster_5	1.0000
97	Spectrogram 1	1	288.750000	289.250000	0	0	5	cluster_5	1.0000
98	Spectrogram 1	1	289.000000	289.500000	0	0	5	cluster_5	0.7761
99	Spectrogram 1	1	289.250000	289.750000	0	0	5	cluster_5	1.0000
100	Spectrogram 1	1	289.500000	290.000000	0	0	5	cluster_5	1.0000
101	Spectrogram 1	1	289.750000	290.250000	0	0	5	cluster_5	1.0000
102	Spectrogram 1	1	290.000000	290.500000	0	0	5	cluster_5	1.0000
103	Spectrogram 1	1	290.250000	290.750000	0	0	5	cluster_5	1.0000
104	Spectrogram 1	1	290.500000	291.000000	0	0	5	cluster_5	1.0000
105	Spectrogram 1	1	290.750000	291.250000	0	0	noise	cluster_noise	0.0000
106	Spectrogram 1	1	291.000000	291.500000	0	0	3	cluster_3	1.0000
107	Spectrogram 1	1	291.250000	291.750000	0	0	3	cluster_3	0.9626
108	Spectrogram 1	1	291.500000	292.000000	0	0	noise	cluster_noise	0.0000
109	Spectrogram 1	1	291.750000	292.250000	0	0	3	cluster_3	0.9083
110	Spectrogram 1	1	292.000000	292.500000	0	0	3	cluster_3	1.0000
111	Spectrogram 1	1	292.250000	292.750000	0	0	3	cluster_3	1.0000
112	Spectrogram 1	1	292.500000	293.000000	0	0	3	cluster_3	1.0000
113	Spectrogram 1	1	292.750000	293.250000	0	0	3	cluster_3	0.9736
114	Spectrogram 1	1	293.000000	293.500000	0	0	noise	cluster_noise	0.0000
115	Spectrogram 1	1	295.000000	295.500000	0	0	2	cluster_2	1.0000
116	Spectrogram 1	1	295.250000	295.750000	0	0	2	cluster_2	1.0000
117	Spectrogram 1	1	295.500000	296.000000	0	0	2	cluster_2	0.8316
118	Spectrogram 1	1	295.750000	296.250000	0	0	2	cluster_2	1.0000
119	Spectrogram 1	1	296.000000	296.500000	0	0	2	cluster_2	1.0000
120	Spectrogram 1	1	296.250000	296.750000	0	0	2	cluster_2	0.6279
121	Spectrogram 1	1	296.500000	297.000000	0	0	noise	cluster_noise	0.0000
122	Spectrogram 1	1	296.750000	297.250000	0	0	26	cluster_26	1.0000
123	Spectrogram 1	1	297.000000	297.500000	0	0	noise	cluster_noise	0.0000
124	Spectrogram 1	1	297.250000	297.750000	0	0	5	cluster_5	1.0000
125	Spectrogram 1	1	297.500000	298.000000	0	0	2	cluster_2	1.0000
126	Spectrogram 1	1	297.750000	298.250000	0	0	2	cluster_2	1.0000
127	Spectrogram 1	1	298.000000	298.500000	0	0	2	cluster_2	1.0000
128	Spectrogram 1	1	298.250000	298.750000	0	0	2	cluster_2	1.0000
129	Spectrogram 1	1	298.500000	299.000000	0	0	2	cluster_2	0.7236
130	Spectrogram 1	1	298.750000	299.250000	0	0	2	cluster_2	1.0000
131	Spectrogram 1	1	299.000000	299.500000	0	0	2	cluster_2	0.9488
132	Spectrogram 1	1	299.250000	299.750000	0	0	noise	cluster_noise	0.0000
133	Spectrogram 1	1	299.500000	300.000000	0	0	noise	cluster_noise	0.0000
134	Spectrogram 1	1	299.750000	300.250000	0	0	noise	cluster_noise	0.0000
135	Spectrogram 1	1	300.000000	300.500000	0	0	25	cluster_25	0.9146
136	Spectrogram 1	1	300.250000	300.750000	0	0	noise	cluster_noise	0.0000
137	Spectrogram 1	1	300.500000	301.000000	0	0	5	cluster_5	1.0000
138	Spectrogram 1	1	300.750000	301.250000	0	0	5	cluster_5	0.8288
139	Spectrogram 1	1	301.000000	301.500000	0	0	5	cluster_5	0.9680
140	Spectrogram 1	1	301.250000	301.750000	0	0	5	cluster_5	0.8720
141	Spectrogram 1	1	301.500000	302.000000	0	0	5	cluster_5	1.0000
142	Spectrogram 1	1	301.750000	302.250000	0	0	5	cluster_5	0.9237
143	Spectrogram 1	1	302.000000	302.500000	0	0	5	cluster_5	1.0000
144	Spectrogram 1	1	302.250000	302.750000	0	0	5	cluster_5	1.0000
145	Spectrogram 1	1	302.500000	303.000000	0	0	noise	cluster_noise	0.0000
146	Spectrogram 1	1	302.750000	303.250000	0	0	5	cluster_5	1.0000
147	Spectrogram 1	1	303.000000	303.500000	0	0	noise	cluster_noise	0.0000
148	Spectrogram 1	1	303.250000	303.750000	0	0	3	cluster_3	1.0000
149	Spectrogram 1	1	303.500000	304.000000	0	0	3	cluster_3	0.9972
150	Spectrogram 1	1	303.750000	304.250000	0	0	noise	cluster_noise	0.0000
151	Spectrogram 1	1	304.000000	304.500000	0	0	noise	cluster_noise	0.0000
152	Spectrogram 1	1	304.250000	304.750000	0	0	noise	cluster_noise	0.0000
153	Spectrogram 1	1	304.500000	305.000000	0	0	3	cluster_3	1.0000
154	Spectrogram 1	1	304.750000	305.250000	0	0	3	cluster_3	1.0000
155	Spectrogram 1	1	305.000000	305.500000	0	0	3	cluster_3	1.0000
156	Spectrogram 1	1	305.250000	305.750000	0	0	noise	cluster_noise	0.0000
157	Spectrogram 1	1	305.500000	306.000000	0	0	noise	cluster_noise	0.0000
158	Spectrogram 1	1	305.750000	306.250000	0	0	26	cluster_26	0.9690
159	Spectrogram 1	1	306.000000	306.500000	0	0	noise	cluster_noise	0.0000
160	Spectrogram 1	1	307.000000	307.500000	0	0	5	cluster_5	1.0000
161	Spectrogram 1	1	307.250000	307.750000	0	0	noise	cluster_noise	0.0000
162	Spectrogram 1	1	307.500000	308.000000	0	0	2	cluster_2	1.0000
163	Spectrogram 1	1	307.750000	308.250000	0	0	2	cluster_2	1.0000
164	Spectrogram 1	1	308.000000	308.500000	0	0	2	cluster_2	1.0000
165	Spectrogram 1	1	308.250000	308.750000	0	0	2	cluster_2	1.0000
166	Spectrogram 1	1	308.500000	309.000000	0	0	2	cluster_2	1.0000
167	Spectrogram 1	1	308.750000	309.250000	0	0	noise	cluster_noise	0.0000
168	Spectrogram 1	1	309.000000	309.500000	0	0	26	cluster_26	0.7862
