Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
78	Spectrogram 1	1	336.250000	337.250000	0	0	13	cluster_13	0.7923
79	Spectrogram 1	1	337.000000	337.500000	0	0	9	cluster_9	0.9486
80	Spectrogram 1	1	337.250000	337.750000	0	0	13	cluster_13	0.6474
81	Spectrogram 1	1	337.500000	339.500000	0	0	6	cluster_6	0.9790
82	Spectrogram 1	1	339.250000	339.750000	0	0	9	cluster_9	0.9989
83	Spectrogram 1	1	339.500000	340.500000	0	0	noise	cluster_noise	0.0000
84	Spectrogram 1	1	340.250000	342.000000	0	0	8	cluster_8	0.9256
85	Spectrogram 1	1	341.750000	342.750000	0	0	noise	cluster_noise	0.0000
86	Spectrogram 1	1	342.500000	343.500000	0	0	13	cluster_13	0.7666
87	Spectrogram 1	1	345.000000	345.750000	0	0	6	cluster_6	1.0000
88	Spectrogram 1	1	345.500000	346.250000	0	0	noise	cluster_noise	0.0000
89	Spectrogram 1	1	346.000000	347.500000	0	0	6	cluster_6	0.9859
90	Spectrogram 1	1	347.250000	347.750000	0	0	noise	cluster_noise	0.0000
91	Spectrogram 1	1	347.500000	348.000000	0	0	13	cluster_13	0.7135
92	Spectrogram 1	1	347.750000	348.750000	0	0	noise	cluster_noise	0.0000
93	Spectrogram 1	1	348.500000	349.000000	0	0	13	cluster_13	0.6594
94	Spectrogram 1	1	348.750000	349.250000	0	0	noise	cluster_noise	0.0000
95	Spectrogram 1	1	349.000000	351.750000	0	0	6	cluster_6	0.9676
96	Spectrogram 1	1	351.500000	352.000000	0	0	noise	cluster_noise	0.0000
97	Spectrogram 1	1	351.750000	353.250000	0	0	8	cluster_8	0.9510
98	Spectrogram 1	1	353.000000	353.500000	0	0	noise	cluster_noise	0.0000
99	Spectrogram 1	1	353.250000	353.750000	0	0	9	cluster_9	1.0000
100	Spectrogram 1	1	353.500000	354.000000	0	0	noise	cluster_noise	0.0000
101	Spectrogram 1	1	353.750000	355.500000	0	0	13	cluster_13	0.7544
102	Spectrogram 1	1	356.000000	358.250000	0	0	6	cluster_6	1.0000
103	Spectrogram 1	1	358.000000	359.000000	0	0	noise	cluster_noise	0.0000
104	Spectrogram 1	1	358.750000	359.250000	0	0	13	cluster_13	0.6357
105	Spectrogram 1	1	359.000000	359.500000	0	0	noise	cluster_noise	0.0000
106	Spectrogram 1	1	359.250000	359.750000	0	0	9	cluster_9	0.9311
107	Spectrogram 1	1	359.500000	360.250000	0	0	13	cluster_13	0.7581
108	Spectrogram 1	1	360.000000	360.500000	0	0	8	cluster_8	0.8538
109	Spectrogram 1	1	360.250000	362.750000	0	0	6	cluster_6	0.9945
110	Spectrogram 1	1	362.500000	363.250000	0	0	noise	cluster_noise	0.0000
111	Spectrogram 1	1	363.000000	363.750000	0	0	6	cluster_6	0.7548
112	Spectrogram 1	1	363.500000	364.000000	0	0	13	cluster_13	0.6658
113	Spectrogram 1	1	363.750000	365.250000	0	0	noise	cluster_noise	0.0000
114	Spectrogram 1	1	365.000000	365.500000	0	0	6	cluster_6	0.7352
115	Spectrogram 1	1	365.250000	365.750000	0	0	10	cluster_10	0.5376
116	Spectrogram 1	1	365.500000	366.500000	0	0	9	cluster_9	0.8889
117	Spectrogram 1	1	366.250000	369.750000	0	0	noise	cluster_noise	0.0000
118	Spectrogram 1	1	369.500000	370.000000	0	0	10	cluster_10	0.5210
119	Spectrogram 1	1	369.750000	371.000000	0	0	noise	cluster_noise	0.0000
120	Spectrogram 1	1	370.750000	371.750000	0	0	13	cluster_13	0.7039
121	Spectrogram 1	1	371.500000	375.000000	0	0	6	cluster_6	0.9810
122	Spectrogram 1	1	374.750000	376.000000	0	0	9	cluster_9	0.9303
123	Spectrogram 1	1	375.750000	376.250000	0	0	13	cluster_13	0.7612
124	Spectrogram 1	1	376.000000	378.500000	0	0	6	cluster_6	0.9931
125	Spectrogram 1	1	378.250000	379.000000	0	0	9	cluster_9	0.7860
126	Spectrogram 1	1	378.750000	380.000000	0	0	noise	cluster_noise	0.0000
127	Spectrogram 1	1	379.750000	380.250000	0	0	13	cluster_13	0.7201
128	Spectrogram 1	1	380.000000	382.000000	0	0	noise	cluster_noise	0.0000
129	Spectrogram 1	1	381.750000	382.250000	0	0	10	cluster_10	0.5372
130	Spectrogram 1	1	382.000000	384.000000	0	0	noise	cluster_noise	0.0000
131	Spectrogram 1	1	383.750000	384.250000	0	0	14	cluster_14	0.7593
132	Spectrogram 1	1	384.000000	385.000000	0	0	noise	cluster_noise	0.0000
133	Spectrogram 1	1	384.750000	385.250000	0	0	14	cluster_14	0.7603
134	Spectrogram 1	1	385.000000	386.000000	0	0	noise	cluster_noise	0.0000
135	Spectrogram 1	1	385.750000	386.250000	0	0	14	cluster_14	1.0000
136	Spectrogram 1	1	386.000000	387.250000	0	0	noise	cluster_noise	0.0000
137	Spectrogram 1	1	387.000000	387.750000	0	0	13	cluster_13	0.6401
