umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,87,16.0,0.3918,155,53,8317,86.3,9.3
2,100,45,16.5,0.2809,493,101,6230,86.5,9.2
2,200,32,18.4,0.282,1266,201,5487,64.1,2.0
5,50,83,19.1,0.2036,163,50,8378,76.1,1.7
5,100,43,18.0,0.3813,364,117,8307,75.3,1.9
5,200,23,13.9,0.3342,1557,228,8437,73.3,2.6
10,50,73,15.9,0.2378,168,50,8926,77.9,2.3
10,100,39,16.3,0.3215,410,113,7678,75.7,2.5
10,200,24,15.0,0.2091,1564,238,8574,78.3,3.3
15,50,82,18.4,0.1867,155,51,6148,86.7,2.6
15,100,43,17.6,0.4526,410,104,7543,88.7,2.8
15,200,24,15.9,0.2496,1566,242,8613,88.6,3.4
20,50,76,17.4,0.3646,171,50,8932,91.7,3.1
20,100,39,16.6,0.2716,410,124,7531,91.4,3.2
20,200,24,14.5,0.3618,1562,240,8864,95.3,3.8
30,50,74,18.8,0.2932,168,51,6936,118.7,4.1
30,100,40,16.5,0.348,413,100,7554,113.9,4.1
30,200,19,8.9,0.2437,2429,241,12281,103.9,4.6
