umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,102,18.5,0.5055,142,51,6207,95.9,10.5,0.7513,0.6468,0.7381
2,100,33,12.2,0.4582,726,101,8515,94.8,12.3,0.8075,0.6987,0.723
2,200,26,14.6,0.3695,1573,227,8101,95.7,11.6,0.7915,0.696,0.7137
5,50,90,22.8,0.2815,156,50,8333,109.9,8.1,0.722,0.6719,0.7471
5,100,41,17.3,0.2978,454,124,8288,90.2,2.3,0.772,0.6994,0.7267
5,200,26,16.4,0.2172,1345,232,8534,92.6,3.3,0.7755,0.7008,0.7088
10,50,81,18.4,0.4208,156,51,8378,96.1,2.5,0.7517,0.6701,0.7265
10,100,41,17.4,0.2749,399,100,7621,96.0,3.2,0.7699,0.7023,0.7315
10,200,26,15.5,0.3166,1230,239,8704,105.9,3.7,0.7992,0.7099,0.716
15,50,73,14.6,0.2056,171,50,8336,113.8,3.0,0.7908,0.6772,0.7268
15,100,41,16.7,0.4136,410,100,8345,113.0,3.5,0.7796,0.7002,0.7272
15,200,26,15.9,0.2981,1171,241,8508,111.2,5.9,0.7954,0.7093,0.7152
20,50,59,13.0,0.2934,166,50,13094,124.0,3.6,0.8087,0.668,0.683
20,100,40,14.8,0.3463,402,100,8387,123.3,5.1,0.7949,0.7032,0.7275
20,200,18,5.5,0.5522,1584,239,24478,121.3,5.7,0.8452,0.6488,0.5938
30,50,70,17.1,0.4678,176,51,13447,159.6,4.1,0.7735,0.6483,0.6746
30,100,39,15.4,0.4216,410,128,8419,121.0,4.3,0.7927,0.7024,0.7257
30,200,24,15.7,0.2489,1562,241,8325,113.5,4.1,0.7831,0.7025,0.7071
