umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,28,9.6,0.4392,355,60,25061,80.4,7.0
2,100,15,4.9,0.3121,739,150,30151,80.1,7.6
2,200,13,4.3,0.6983,951,240,30353,61.9,2.0
5,50,27,14.7,0.0666,238,55,25292,75.0,2.0
5,100,19,15.5,0.2727,904,161,26958,75.1,2.3
5,200,18,25.0,0.2086,927,236,25211,82.4,3.0
10,50,36,22.9,0.471,246,52,26529,80.1,2.4
10,100,13,11.8,0.2882,1568,160,27356,79.0,2.9
10,200,24,40.9,0.356,963,234,5593,80.0,3.5
15,50,28,14.4,0.4395,244,58,26236,84.5,3.4
15,100,17,14.4,0.1045,880,159,25565,85.6,3.1
15,200,13,14.3,0.1414,942,236,24983,84.3,4.2
20,50,41,25.1,0.5046,182,52,26461,94.1,3.2
20,100,18,21.1,0.1147,944,162,25642,90.9,3.5
20,200,13,13.3,0.3547,950,236,25566,91.8,4.2
30,50,27,12.6,0.4656,240,53,26411,113.2,3.9
30,100,17,18.4,0.1801,1036,156,25962,110.7,4.5
30,200,13,14.0,0.1372,955,236,25349,104.8,4.6
