umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,20,14.4,0.4212,246,52,3373,28.5,0.2
2,100,15,16.7,0.5318,350,170,2742,28.4,0.2
2,200,10,10.9,0.4378,734,235,2747,10.3,0.4
5,50,4,0.0,0.7258,1800,246,7242,12.5,0.3
5,100,9,6.9,0.7313,506,195,3352,11.0,0.3
5,200,4,0.0,0.437,1800,246,7242,10.4,0.5
10,50,13,6.5,0.1956,363,52,2669,11.5,0.3
10,100,11,8.1,0.5828,533,199,2717,11.1,0.4
10,200,8,10.4,0.7381,537,242,3355,11.7,0.5
15,50,12,6.0,0.4333,307,57,3349,11.9,0.4
15,100,4,0.0,0.298,1799,248,7242,12.6,0.4
15,200,7,7.5,0.6052,1402,248,3349,12.4,0.6
20,50,13,7.1,0.2692,360,57,2663,12.2,0.4
20,100,7,2.6,0.3863,457,241,7246,12.4,0.5
20,200,10,11.7,0.5326,735,241,2792,12.6,0.7
30,50,14,6.7,0.3648,327,55,2735,13.9,0.5
30,100,11,12.4,0.5706,459,203,3340,14.1,0.6
30,200,8,10.7,0.6489,540,246,3340,14.5,0.8
