umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,19,10.5,0.6629,240,51,2691,34.5,0.2,0.7467,0.6249,0.6062
2,100,10,7.2,0.4978,621,204,2706,34.5,0.2,0.7749,0.5728,0.5015
2,200,9,10.1,0.5051,555,237,2747,34.5,0.4,0.7489,0.568,0.4891
5,50,4,0.0,0.7505,1799,246,7243,36.5,0.3,0.8385,0.3203,0.2115
5,100,4,0.0,0.6183,1799,246,7243,15.8,0.3,0.8385,0.3203,0.2115
5,200,4,0.0,0.525,1799,246,7243,15.7,0.5,0.8385,0.3203,0.2115
10,50,13,5.4,0.1814,375,56,2686,16.4,0.3,0.7927,0.5829,0.5185
10,100,9,5.7,0.6537,924,204,2711,15.4,0.4,0.7918,0.558,0.4809
10,200,7,7.4,0.6086,1421,245,3350,18.0,0.5,0.7775,0.4916,0.3972
15,50,12,6.3,0.4222,315,57,3352,19.6,0.4,0.7831,0.5319,0.4504
15,100,6,1.3,0.3088,970,245,7245,19.8,0.5,0.8294,0.4427,0.3223
15,200,4,0.0,0.2709,1799,245,7245,19.0,0.7,0.8385,0.3193,0.2108
20,50,5,0.0,0.5819,915,248,7254,21.8,0.4,0.8385,0.3911,0.273
20,100,7,1.2,0.2514,914,248,3721,21.0,0.5,0.8275,0.4642,0.3693
20,200,7,3.5,0.1127,1024,248,4294,20.8,0.7,0.8105,0.4629,0.3668
30,50,4,0.0,0.557,1805,242,7236,22.0,0.7,0.8385,0.3194,0.2108
30,100,8,3.5,0.1179,1150,242,2697,14.9,0.6,0.8135,0.5438,0.463
30,200,5,2.2,0.2621,2748,242,4240,14.8,0.7,0.8207,0.3481,0.2516
