umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,18,4.6,0.1157,208,70,25229,47.9,7.7
2,100,16,6.2,0.0964,414,112,15164,48.0,7.6
2,200,8,8.0,0.3915,1360,423,15060,29.4,0.9
5,50,17,12.8,0.2788,341,70,12808,35.5,0.9
5,100,13,11.0,0.1388,434,115,14590,34.6,1.0
5,200,3,0.4,0.0563,4261,2056,26800,34.3,1.4
10,50,31,27.3,0.1313,240,61,11536,36.9,1.1
10,100,11,9.1,0.4424,838,115,14629,36.7,1.3
10,200,9,13.2,0.458,1078,291,14630,37.2,1.6
15,50,32,37.0,0.2249,318,50,7600,41.0,1.2
15,100,15,12.2,0.1416,355,115,14427,41.4,1.5
15,200,3,0.6,0.0009,4268,2073,26732,41.5,1.7
20,50,13,11.6,0.0805,490,77,12153,41.5,1.4
20,100,9,5.8,0.2203,925,115,14533,41.4,1.7
20,200,8,7.4,0.0872,1503,296,15066,41.2,1.9
30,50,28,40.5,0.3365,497,64,6431,48.4,1.7
30,100,11,8.8,0.0599,855,115,14460,47.2,1.9
30,200,12,21.7,0.4789,867,205,14620,45.6,1.9
