umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,29,14.4,0.5102,267,62,13678,55.1,8.0,0.5327,0.4885,0.48
2,100,13,6.5,0.0925,341,101,25258,55.0,8.4,0.5775,0.3665,0.2657
2,200,6,3.6,0.0219,3250,444,15108,55.0,8.6,0.5984,0.3578,0.2735
5,50,35,43.4,0.2648,376,63,2040,64.0,10.2,0.4787,0.5866,0.6345
5,100,13,10.1,0.0735,445,115,15513,43.1,1.5,0.5508,0.4288,0.3585
5,200,9,12.8,0.4586,1036,294,14959,42.1,2.1,0.5347,0.443,0.3655
10,50,31,28.0,0.1544,218,50,12626,45.4,1.4,0.4361,0.5435,0.5444
10,100,11,9.9,0.1043,836,115,14298,44.4,3.5,0.565,0.4444,0.3715
10,200,7,9.8,0.3782,2039,430,14720,48.1,2.0,0.5614,0.4093,0.3253
15,50,13,11.4,0.3881,623,76,11271,53.4,1.5,0.5847,0.3871,0.3155
15,100,14,19.7,0.062,609,115,14342,52.5,1.7,0.4911,0.5133,0.4563
15,200,8,6.2,0.0857,1495,294,15526,53.0,3.0,0.5791,0.3855,0.3042
20,50,21,15.0,0.2184,280,56,14235,54.7,1.7,0.5238,0.5051,0.469
20,100,9,9.4,0.049,846,115,14050,54.8,2.1,0.5728,0.4149,0.3343
20,200,9,11.8,0.4979,956,291,14645,54.5,2.5,0.5466,0.4444,0.3669
30,50,18,12.3,0.151,305,62,12570,58.8,1.9,0.5642,0.4489,0.3842
30,100,14,12.6,0.0735,377,115,14404,49.4,1.8,0.5426,0.4347,0.3655
30,200,9,12.8,0.4687,1035,299,14690,51.1,1.9,0.5373,0.4457,0.368
