umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,42,17.9,0.2845,350,56,2861,63.2,8.8,0.7294,0.6502,0.702
2,100,30,14.9,0.313,729,120,2843,62.4,9.5,0.7804,0.6743,0.7017
2,200,12,5.1,0.4721,1743,730,8138,61.9,8.5,0.797,0.5998,0.5502
5,50,35,22.7,0.5092,425,51,3885,73.6,6.7,0.7227,0.701,0.7275
5,100,19,10.0,0.4644,1162,120,7690,48.2,1.1,0.7585,0.6777,0.6703
5,200,14,10.9,0.5215,1537,698,7914,49.2,1.7,0.7487,0.6622,0.6426
10,50,28,12.5,0.4938,379,51,6054,51.3,1.2,0.7668,0.6528,0.6427
10,100,15,7.6,0.4905,1114,174,7949,52.8,1.7,0.7744,0.6183,0.5749
10,200,13,9.2,0.6186,1607,227,7851,47.9,1.8,0.7619,0.6098,0.5619
15,50,22,10.5,0.5383,815,66,7796,50.3,1.3,0.7505,0.6745,0.6681
15,100,16,9.4,0.4915,1006,121,7739,49.7,1.6,0.7605,0.6218,0.5784
15,200,12,10.4,0.5961,1660,688,7707,51.7,3.8,0.752,0.6132,0.5615
20,50,30,18.4,0.411,611,64,3870,52.5,1.5,0.7342,0.6949,0.713
20,100,19,10.1,0.4743,1247,133,7854,53.1,2.0,0.7547,0.6746,0.6666
20,200,12,10.7,0.4885,1636,690,7805,52.7,2.5,0.7481,0.6119,0.5602
30,50,30,15.9,0.5072,513,59,6054,60.6,1.7,0.7549,0.6643,0.6649
30,100,16,8.1,0.4056,1022,131,7812,50.0,1.6,0.771,0.6178,0.5754
30,200,12,9.7,0.5202,1652,696,7979,49.5,1.7,0.7555,0.6086,0.5576
