umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,41,15.2,0.2413,378,65,2896,49.1,6.5
2,100,30,13.6,0.3103,717,116,6055,49.0,6.6
2,200,16,11.3,0.4336,1456,200,7612,32.5,0.9
5,50,25,16.0,0.3038,490,66,7471,38.2,0.7
5,100,18,10.0,0.4524,1269,152,7809,35.0,0.9
5,200,13,8.9,0.4641,1614,230,7794,34.3,1.1
10,50,29,17.3,0.3145,759,63,4005,36.7,1.0
10,100,18,9.6,0.428,1246,161,7862,36.7,1.0
10,200,15,11.2,0.5246,1474,249,7866,37.1,1.4
15,50,33,19.5,0.3048,508,64,3970,39.1,1.1
15,100,15,9.4,0.4782,1152,171,7701,39.7,1.2
15,200,12,10.9,0.6063,1627,687,7763,39.1,1.5
20,50,20,5.9,0.3748,811,69,7884,39.2,1.2
20,100,14,5.4,0.2425,942,134,7866,39.1,1.3
20,200,12,10.1,0.5068,1621,687,8002,39.9,1.7
30,50,19,6.2,0.2063,776,57,7860,46.6,2.6
30,100,22,12.9,0.4639,801,132,7793,46.3,1.6
30,200,14,12.0,0.4858,1553,685,7940,45.0,1.7
