umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,30,16.4,0.5731,227,50,36863,84.8,6.0,0.4351,0.3607,0.3247
2,100,22,15.8,0.6854,374,112,36913,83.0,7.9,0.4362,0.3656,0.3269
2,200,15,18.0,0.4948,1067,225,37100,62.2,2.0,0.4209,0.3784,0.3286
5,50,3,2.6,0.7927,225,131,64446,78.6,2.2,0.5357,0.0198,0.0101
5,100,22,28.2,0.0791,461,118,34800,75.5,2.7,0.3605,0.4422,0.395
5,200,6,9.0,0.0031,4529,259,35230,76.1,3.3,0.5064,0.2964,0.2247
10,50,4,7.6,0.0002,751,132,59862,82.9,2.7,0.5168,0.0825,0.0446
10,100,5,6.4,0.3096,1224,140,34781,81.7,3.3,0.5249,0.1044,0.068
10,200,5,7.7,0.1287,10174,252,34896,82.7,4.1,0.5162,0.2539,0.1858
15,50,30,29.3,0.5262,273,52,32452,87.3,3.4,0.376,0.4279,0.3852
15,100,22,29.5,0.4568,464,129,33087,88.1,3.7,0.3617,0.4547,0.412
15,200,6,4.7,0.0031,4737,250,36726,87.8,4.7,0.5252,0.2873,0.2174
20,50,30,26.1,0.4939,269,52,34236,92.3,3.6,0.3847,0.428,0.3869
20,100,9,17.1,0.6536,1324,129,32821,90.0,4.2,0.4655,0.3248,0.2547
20,200,5,9.6,0.1919,10166,253,34459,91.8,5.1,0.5061,0.258,0.1883
30,50,4,4.5,0.0002,792,142,61793,115.8,4.6,0.5276,0.0808,0.0438
30,100,6,6.7,0.0017,5643,139,34687,113.8,4.9,0.5234,0.2532,0.1854
30,200,11,11.1,0.0574,792,233,36721,108.3,5.6,0.479,0.3002,0.2337
