umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,25,11.1,0.6131,340,58,3183,33.5,8.4
2,100,13,5.2,0.4276,880,147,3238,33.4,8.6
2,200,12,9.0,0.3203,886,402,3067,15.6,0.4
5,50,15,4.2,0.3203,638,57,6203,19.1,0.4
5,100,18,15.7,0.3398,715,140,2223,16.5,0.4
5,200,12,9.9,0.295,940,400,3018,16.1,0.6
10,50,16,4.7,0.6847,695,59,3249,17.7,0.5
10,100,14,8.7,0.4982,953,151,2869,17.6,0.5
10,200,13,11.5,0.4458,947,397,2813,17.9,0.6
15,50,18,10.0,0.4227,708,58,2860,18.6,0.5
15,100,15,10.6,0.516,910,148,2785,18.2,0.6
15,200,12,10.1,0.2047,905,400,3046,18.7,0.7
20,50,17,4.0,0.1726,650,58,3213,18.7,0.5
20,100,13,4.3,0.3412,939,150,3187,18.7,0.6
20,200,13,12.2,0.4405,968,399,2861,19.1,0.8
30,50,18,9.9,0.5502,717,58,2787,22.3,0.7
30,100,15,10.6,0.3381,920,149,2740,21.8,0.8
30,200,13,12.9,0.4365,951,397,2812,21.7,0.8
