Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
79	Spectrogram 1	1	19.500000	20.000000	0	0	5	cluster_5	0.9870
80	Spectrogram 1	1	19.750000	20.250000	0	0	1	cluster_1	1.0000
81	Spectrogram 1	1	20.000000	20.500000	0	0	1	cluster_1	1.0000
82	Spectrogram 1	1	20.250000	20.750000	0	0	1	cluster_1	1.0000
83	Spectrogram 1	1	20.500000	21.000000	0	0	5	cluster_5	1.0000
84	Spectrogram 1	1	20.750000	21.250000	0	0	5	cluster_5	1.0000
85	Spectrogram 1	1	21.000000	21.500000	0	0	5	cluster_5	0.8804
86	Spectrogram 1	1	21.250000	21.750000	0	0	5	cluster_5	0.8607
87	Spectrogram 1	1	21.500000	22.000000	0	0	5	cluster_5	0.8920
88	Spectrogram 1	1	21.750000	22.250000	0	0	5	cluster_5	0.8893
89	Spectrogram 1	1	22.000000	22.500000	0	0	5	cluster_5	0.9021
90	Spectrogram 1	1	22.250000	22.750000	0	0	5	cluster_5	0.8896
91	Spectrogram 1	1	22.500000	23.000000	0	0	5	cluster_5	0.7784
92	Spectrogram 1	1	22.750000	23.250000	0	0	5	cluster_5	1.0000
93	Spectrogram 1	1	23.000000	23.500000	0	0	5	cluster_5	1.0000
94	Spectrogram 1	1	23.250000	23.750000	0	0	5	cluster_5	0.9665
95	Spectrogram 1	1	23.500000	24.000000	0	0	5	cluster_5	1.0000
96	Spectrogram 1	1	23.750000	24.250000	0	0	5	cluster_5	0.9137
97	Spectrogram 1	1	24.000000	24.500000	0	0	5	cluster_5	1.0000
98	Spectrogram 1	1	24.250000	24.750000	0	0	5	cluster_5	1.0000
99	Spectrogram 1	1	24.500000	25.000000	0	0	5	cluster_5	1.0000
100	Spectrogram 1	1	24.750000	25.250000	0	0	5	cluster_5	0.5663
101	Spectrogram 1	1	25.000000	25.500000	0	0	5	cluster_5	0.7341
102	Spectrogram 1	1	25.250000	25.750000	0	0	1	cluster_1	1.0000
