embedder_type,window_sec,hop_sec,perch_padding,umap_dims,mcs,eps,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,ari,homog,mean_total_score
perch,2.5,0.5,repeat,10,100,0.0,27,15.0,0.3023,499,118,4781,31.9,5.6,0.8158,0.7186,0.6147,0.7181,0.7167999999999999
perch,3.0,1.5,zero,5,100,0.0,15,15.5,0.3885,548,173,1626,9.9,0.3,0.7967,0.7308,0.6294,0.7099,0.7166999999999999
perch,2.0,0.25,repeat,15,100,0.0,37,15.2,0.2154,460,111,8429,72.8,7.4,0.8014,0.7077,0.6296,0.7278,0.7166250000000001
perch,2.5,1.0,zero,10,200,0.0,15,18.2,0.3035,806,229,2324,16.0,7.0,0.7767,0.7313,0.6445,0.714,0.716625
perch,3.0,1.0,zero,20,50,0.0,21,11.1,0.3883,502,54,2444,16.4,5.7,0.836,0.718,0.6044,0.7075,0.716475
perch,2.0,0.5,zero,10,100,0.0,29,23.9,0.3724,582,100,3476,33.0,5.9,0.7209,0.7233,0.6754,0.7453,0.716225
perch,3.0,1.5,zero,15,100,0.0,15,16.3,0.3286,546,165,1625,11.0,0.4,0.7896,0.7323,0.6305,0.7118,0.7160500000000001
perch,2.5,0.5,zero,20,200,0.0,16,17.2,0.2405,1559,209,4662,34.8,6.5,0.8,0.7215,0.6388,0.7037,0.7160000000000001
perch,3.0,1.5,zero,10,100,0.0,16,14.5,0.4028,544,105,1628,10.5,0.4,0.8038,0.7269,0.6225,0.7102,0.71585
perch,2.5,1.0,repeat,5,100,0.0,15,11.7,0.3807,1005,141,2392,15.0,6.3,0.8208,0.7208,0.6243,0.6972,0.7157749999999999
perch,3.0,1.0,repeat,2,50,0.0,30,14.2,0.2484,179,59,2322,29.0,5.3,0.7964,0.7202,0.6049,0.7412,0.7156750000000001
perch,3.0,1.0,repeat,10,50,0.0,23,9.5,0.4459,379,55,3106,15.8,5.5,0.8699,0.7226,0.578,0.6921,0.71565
perch,3.0,1.0,zero,30,200,0.0,15,15.5,0.3696,821,250,2448,18.8,5.9,0.7946,0.7298,0.628,0.7086,0.71525
perch,3.0,1.0,zero,10,200,0.0,15,16.2,0.3796,815,251,2446,15.6,5.7,0.7898,0.7309,0.6289,0.7108,0.7151
perch,3.0,1.5,zero,20,100,0.0,15,16.0,0.3935,541,168,1628,10.8,0.5,0.7927,0.7302,0.6277,0.7095,0.715025
perch,2.5,1.0,repeat,2,100,0.0,17,12.6,0.4253,823,107,2404,29.8,5.2,0.8138,0.7171,0.6249,0.7036,0.71485
perch,2.0,0.5,repeat,30,50,0.0,34,14.6,0.5062,267,51,4430,41.6,6.3,0.8044,0.7058,0.6289,0.7189,0.7145
perch,2.5,1.0,repeat,15,100,0.0,15,9.9,0.3615,1004,150,2394,16.7,6.6,0.8336,0.7126,0.6198,0.6907,0.714175
perch,2.5,0.5,repeat,15,100,0.0,26,14.0,0.4331,531,100,4779,34.2,5.7,0.8197,0.7148,0.6116,0.7099,0.714
perch,3.0,1.5,repeat,15,50,0.0,20,10.4,0.3054,351,51,2104,10.9,0.9,0.8537,0.7244,0.5882,0.6891,0.7138500000000001
perch,2.5,1.0,zero,20,100,0.0,17,15.2,0.3605,734,101,2324,16.9,5.9,0.7924,0.7226,0.6276,0.7114,0.7135
perch,3.0,1.0,repeat,20,50,0.0,23,8.5,0.439,378,52,3252,16.2,5.6,0.8768,0.7191,0.57,0.6879,0.7134499999999999
perch,2.5,1.0,repeat,10,50,0.0,21,10.4,0.431,537,71,2388,15.6,4.9,0.8318,0.7104,0.6085,0.7025,0.7133
perch,2.0,0.5,repeat,5,50,0.0,35,15.6,0.5328,244,56,4457,31.6,8.3,0.7921,0.7067,0.6325,0.7206,0.712975
perch,2.5,0.5,zero,5,200,0.0,16,15.6,0.2797,1509,206,4685,29.8,6.8,0.8128,0.7142,0.6293,0.6955,0.71295
perch,2.0,0.25,repeat,15,200,0.0,25,16.2,0.2973,1509,263,8441,72.8,7.8,0.7823,0.7121,0.6358,0.7208,0.71275
perch,2.0,0.5,repeat,10,100,0.0,22,15.2,0.5442,833,107,4468,33.6,5.6,0.8031,0.717,0.6288,0.7013,0.71255
perch,2.0,0.5,repeat,20,50,0.0,35,15.2,0.5149,245,51,4456,35.0,6.7,0.7958,0.7059,0.6292,0.7193,0.71255
perch,2.5,0.5,repeat,30,50,0.0,41,13.9,0.4561,239,53,4783,43.7,6.0,0.8165,0.7049,0.5902,0.7351,0.711675
perch,2.5,0.5,repeat,30,100,0.0,27,16.7,0.4355,574,123,4783,43.7,6.1,0.794,0.7191,0.6068,0.7263,0.7115500000000001
perch,3.0,1.0,zero,2,100,0.0,16,9.6,0.393,866,167,2455,29.6,5.6,0.8445,0.7084,0.6028,0.6902,0.7114750000000001
perch,3.0,1.5,repeat,20,100,0.0,14,11.6,0.3622,661,148,1508,11.0,1.0,0.8239,0.719,0.6191,0.6839,0.711475
perch,3.0,1.0,zero,30,50,0.0,24,15.3,0.4938,342,56,2448,18.8,5.9,0.7924,0.7241,0.6036,0.7252,0.711325
perch,2.5,0.5,zero,20,100,0.0,28,21.4,0.4763,389,108,4703,34.8,6.2,0.7505,0.7268,0.6324,0.7338,0.710875
perch,2.0,0.5,repeat,20,100,0.0,23,14.1,0.6481,801,105,4456,35.0,6.8,0.8041,0.7132,0.626,0.6991,0.7106
perch,2.0,0.5,zero,5,50,0.0,35,16.2,0.3068,329,68,3844,31.2,5.4,0.7837,0.6971,0.6392,0.7205,0.710125
perch,2.5,0.5,repeat,10,50,0.0,42,14.8,0.501,283,70,4781,31.9,5.5,0.8037,0.7035,0.5889,0.7444,0.7101249999999999
perch,2.5,1.0,repeat,2,50,0.0,20,7.2,0.3425,575,86,2404,29.8,5.1,0.8493,0.6975,0.6004,0.6924,0.7099000000000001
perch,2.5,1.5,repeat,30,200,0.0,13,12.4,0.4323,678,262,1522,12.3,1.2,0.8037,0.7157,0.6303,0.6889,0.70965
perch,2.0,0.5,repeat,15,100,0.0,22,14.2,0.5395,833,139,4440,36.1,6.1,0.8025,0.7114,0.6269,0.6963,0.709275
perch,2.0,0.25,repeat,5,100,0.0,40,16.0,0.2402,395,113,8583,64.6,10.1,0.7884,0.7005,0.6256,0.7219,0.7091000000000001
perch,2.5,0.5,repeat,20,200,0.0,14,11.6,0.3235,1787,738,4780,33.8,6.1,0.8183,0.7149,0.613,0.6893,0.7088749999999999
perch,2.0,0.25,repeat,10,100,0.0,42,17.1,0.4258,369,110,8537,67.5,6.7,0.7814,0.7012,0.6273,0.7253,0.7088
perch,3.0,1.0,zero,5,200,0.0,15,16.9,0.3573,822,254,2448,14.7,5.5,0.78,0.727,0.6207,0.707,0.7086749999999999
perch,2.5,0.5,repeat,30,200,0.0,14,11.9,0.4572,1771,732,4783,43.7,6.4,0.8138,0.7159,0.614,0.6902,0.708475
perch,2.5,0.5,zero,30,100,0.0,27,20.3,0.4386,551,108,4696,40.1,7.8,0.7534,0.7212,0.6283,0.7288,0.707925
perch,2.5,1.5,repeat,10,50,0.0,17,9.5,0.2934,521,61,1605,10.4,0.9,0.8275,0.7086,0.6051,0.6903,0.707875
perch,2.5,0.5,repeat,15,50,0.0,45,15.7,0.5072,260,52,4779,34.2,5.7,0.7968,0.7025,0.5883,0.7433,0.707725
