Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
1	Spectrogram 1	1	263.000000	263.750000	0	0	8	cluster_8	1.0000
2	Spectrogram 1	1	263.500000	264.000000	0	0	noise	cluster_noise	0.0000
3	Spectrogram 1	1	263.750000	265.000000	0	0	18	cluster_18	0.9592
4	Spectrogram 1	1	264.750000	265.250000	0	0	noise	cluster_noise	0.0000
5	Spectrogram 1	1	265.000000	265.750000	0	0	19	cluster_19	0.9066
6	Spectrogram 1	1	265.500000	266.000000	0	0	noise	cluster_noise	0.0000
7	Spectrogram 1	1	265.750000	266.250000	0	0	8	cluster_8	1.0000
8	Spectrogram 1	1	266.000000	266.500000	0	0	3	cluster_3	1.0000
9	Spectrogram 1	1	266.250000	266.750000	0	0	8	cluster_8	0.9859
10	Spectrogram 1	1	266.500000	267.000000	0	0	noise	cluster_noise	0.0000
11	Spectrogram 1	1	266.750000	267.250000	0	0	3	cluster_3	1.0000
12	Spectrogram 1	1	267.000000	269.250000	0	0	8	cluster_8	1.0000
13	Spectrogram 1	1	269.000000	269.500000	0	0	13	cluster_13	0.6642
14	Spectrogram 1	1	269.250000	271.250000	0	0	1	cluster_1	0.9639
15	Spectrogram 1	1	271.000000	272.000000	0	0	8	cluster_8	0.9198
16	Spectrogram 1	1	271.750000	272.250000	0	0	noise	cluster_noise	0.0000
17	Spectrogram 1	1	272.000000	274.000000	0	0	1	cluster_1	0.9806
18	Spectrogram 1	1	273.750000	274.250000	0	0	noise	cluster_noise	0.0000
19	Spectrogram 1	1	274.000000	275.000000	0	0	8	cluster_8	1.0000
20	Spectrogram 1	1	274.750000	275.250000	0	0	noise	cluster_noise	0.0000
21	Spectrogram 1	1	275.000000	275.500000	0	0	8	cluster_8	1.0000
22	Spectrogram 1	1	275.250000	276.000000	0	0	noise	cluster_noise	0.0000
23	Spectrogram 1	1	275.750000	276.750000	0	0	16	cluster_16	0.9950
24	Spectrogram 1	1	276.500000	277.500000	0	0	noise	cluster_noise	0.0000
25	Spectrogram 1	1	277.250000	278.000000	0	0	17	cluster_17	0.9013
26	Spectrogram 1	1	277.750000	278.250000	0	0	8	cluster_8	1.0000
27	Spectrogram 1	1	278.000000	278.500000	0	0	noise	cluster_noise	0.0000
28	Spectrogram 1	1	278.250000	278.750000	0	0	17	cluster_17	0.8704
29	Spectrogram 1	1	278.500000	279.000000	0	0	noise	cluster_noise	0.0000
30	Spectrogram 1	1	278.750000	279.250000	0	0	3	cluster_3	0.7411
31	Spectrogram 1	1	279.000000	281.750000	0	0	8	cluster_8	1.0000
32	Spectrogram 1	1	281.500000	282.000000	0	0	13	cluster_13	1.0000
33	Spectrogram 1	1	281.750000	282.250000	0	0	noise	cluster_noise	0.0000
34	Spectrogram 1	1	282.000000	284.000000	0	0	1	cluster_1	0.9759
35	Spectrogram 1	1	283.750000	284.500000	0	0	8	cluster_8	1.0000
36	Spectrogram 1	1	284.250000	284.750000	0	0	13	cluster_13	1.0000
37	Spectrogram 1	1	284.500000	285.000000	0	0	noise	cluster_noise	0.0000
38	Spectrogram 1	1	284.750000	286.750000	0	0	1	cluster_1	0.9244
39	Spectrogram 1	1	286.500000	287.000000	0	0	noise	cluster_noise	0.0000
40	Spectrogram 1	1	286.750000	288.000000	0	0	8	cluster_8	0.9642
41	Spectrogram 1	1	287.750000	288.250000	0	0	13	cluster_13	0.9918
42	Spectrogram 1	1	288.000000	288.500000	0	0	noise	cluster_noise	0.0000
43	Spectrogram 1	1	288.250000	289.000000	0	0	16	cluster_16	1.0000
44	Spectrogram 1	1	288.750000	290.500000	0	0	noise	cluster_noise	0.0000
45	Spectrogram 1	1	290.250000	291.000000	0	0	17	cluster_17	0.8881
46	Spectrogram 1	1	290.750000	291.250000	0	0	8	cluster_8	1.0000
47	Spectrogram 1	1	291.000000	291.750000	0	0	3	cluster_3	0.9293
48	Spectrogram 1	1	291.500000	292.000000	0	0	noise	cluster_noise	0.0000
49	Spectrogram 1	1	291.750000	293.250000	0	0	3	cluster_3	0.9439
50	Spectrogram 1	1	293.000000	293.500000	0	0	8	cluster_8	1.0000
