umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,14,4.9,0.3491,394,51,1598,34.3,0.2
2,100,11,9.3,0.3113,486,199,1531,34.8,0.2
2,200,7,13.8,0.3895,903,406,1832,13.0,0.3
5,50,14,4.0,0.4151,381,56,1671,17.4,0.2
5,100,11,7.0,0.5108,469,198,1673,17.1,0.3
5,200,3,0.0,0.3465,2008,756,5552,16.9,0.4
10,50,14,3.8,0.2853,290,53,2031,18.1,0.2
10,100,11,7.1,0.3308,466,196,1678,18.6,0.3
10,200,6,9.4,0.4935,1320,444,2031,18.0,0.4
15,50,12,1.1,0.5335,620,56,1661,19.8,0.3
15,100,5,0.4,0.4285,906,195,5356,19.6,0.3
15,200,3,2.3,0.4492,2011,754,5356,19.6,0.4
20,50,14,4.4,0.5652,368,52,1666,19.3,0.3
20,100,11,6.9,0.3365,466,197,1675,19.6,0.3
20,200,3,2.4,0.4619,2030,754,5335,18.6,0.4
30,50,14,3.9,0.4267,367,54,1673,21.6,0.4
30,100,11,6.6,0.5449,470,199,1676,22.1,0.4
30,200,3,0.7,0.2057,2009,754,5494,21.9,0.5
