umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,15,6.2,0.4355,312,66,1595,37.8,0.1,0.8394,0.6519,0.6155
2,100,11,9.3,0.3232,508,198,1496,37.9,0.2,0.8116,0.6505,0.5942
2,200,4,3.6,0.1023,969,763,5318,38.2,0.3,0.8627,0.4128,0.2887
5,50,12,1.1,0.2839,622,55,1676,44.2,0.2,0.8836,0.621,0.5608
5,100,11,7.0,0.3148,460,196,1673,20.0,0.2,0.8302,0.6439,0.586
5,200,3,0.0,0.275,2014,758,5544,19.9,0.3,0.8932,0.3373,0.2232
10,50,12,1.0,0.5482,621,53,1675,21.7,0.4,0.8847,0.6203,0.5597
10,100,11,6.6,0.5085,473,198,1676,22.5,0.4,0.8335,0.6446,0.5868
10,200,7,10.4,0.3825,1032,448,1669,23.0,0.4,0.7965,0.5755,0.4971
15,50,12,1.9,0.5079,620,54,1676,24.5,0.2,0.8799,0.6245,0.564
15,100,11,6.5,0.3434,475,198,1683,24.4,0.3,0.8357,0.6442,0.5866
15,200,3,2.4,0.4689,2032,755,5331,25.3,0.4,0.8694,0.3436,0.2285
20,50,14,4.3,0.1899,370,52,1674,22.6,0.3,0.8543,0.6436,0.5948
20,100,11,4.6,0.3303,630,195,1660,23.4,0.7,0.8538,0.6405,0.5838
20,200,3,1.9,0.1992,2011,755,5389,25.0,0.8,0.8739,0.3402,0.2259
30,50,14,4.1,0.3351,365,55,1675,24.9,0.3,0.8553,0.6432,0.5939
30,100,11,6.9,0.554,457,199,1672,24.0,0.4,0.8306,0.6456,0.5879
30,200,4,0.6,0.41,979,754,5552,23.3,0.5,0.8887,0.4035,0.2802
