Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
78	Spectrogram 1	1	321.750000	322.250000	0	0	noise	cluster_noise	0.0000
79	Spectrogram 1	1	322.000000	322.750000	0	0	5	cluster_5	0.7757
80	Spectrogram 1	1	322.500000	324.500000	0	0	9	cluster_9	0.7916
81	Spectrogram 1	1	324.250000	324.750000	0	0	noise	cluster_noise	0.0000
82	Spectrogram 1	1	324.500000	325.000000	0	0	8	cluster_8	1.0000
83	Spectrogram 1	1	324.750000	326.000000	0	0	6	cluster_6	0.9140
84	Spectrogram 1	1	325.750000	329.000000	0	0	5	cluster_5	0.8792
85	Spectrogram 1	1	328.750000	331.500000	0	0	10	cluster_10	1.0000
86	Spectrogram 1	1	331.250000	333.000000	0	0	6	cluster_6	1.0000
87	Spectrogram 1	1	332.750000	333.250000	0	0	5	cluster_5	0.6606
88	Spectrogram 1	1	333.000000	334.750000	0	0	3	cluster_3	0.9383
89	Spectrogram 1	1	334.500000	335.250000	0	0	noise	cluster_noise	0.0000
90	Spectrogram 1	1	335.000000	336.000000	0	0	5	cluster_5	0.7765
91	Spectrogram 1	1	335.750000	337.500000	0	0	6	cluster_6	0.9621
92	Spectrogram 1	1	337.250000	339.500000	0	0	5	cluster_5	0.9732
93	Spectrogram 1	1	339.250000	340.250000	0	0	6	cluster_6	0.9782
94	Spectrogram 1	1	340.000000	342.750000	0	0	10	cluster_10	0.9701
95	Spectrogram 1	1	342.500000	344.250000	0	0	6	cluster_6	1.0000
96	Spectrogram 1	1	344.000000	345.000000	0	0	5	cluster_5	0.8862
97	Spectrogram 1	1	344.750000	346.250000	0	0	3	cluster_3	0.9241
98	Spectrogram 1	1	346.000000	346.500000	0	0	noise	cluster_noise	0.0000
99	Spectrogram 1	1	346.250000	347.000000	0	0	5	cluster_5	0.7241
100	Spectrogram 1	1	346.750000	347.250000	0	0	6	cluster_6	1.0000
101	Spectrogram 1	1	347.000000	347.750000	0	0	noise	cluster_noise	0.0000
102	Spectrogram 1	1	347.500000	348.750000	0	0	6	cluster_6	0.9791
103	Spectrogram 1	1	348.500000	351.250000	0	0	5	cluster_5	0.8360
104	Spectrogram 1	1	351.000000	351.500000	0	0	6	cluster_6	1.0000
105	Spectrogram 1	1	351.250000	352.750000	0	0	10	cluster_10	0.9726
106	Spectrogram 1	1	352.500000	355.250000	0	0	6	cluster_6	1.0000
107	Spectrogram 1	1	355.000000	355.500000	0	0	5	cluster_5	0.5399
108	Spectrogram 1	1	355.250000	355.750000	0	0	noise	cluster_noise	0.0000
109	Spectrogram 1	1	355.500000	357.750000	0	0	3	cluster_3	0.9116
110	Spectrogram 1	1	357.500000	358.000000	0	0	5	cluster_5	0.7974
111	Spectrogram 1	1	357.750000	358.250000	0	0	noise	cluster_noise	0.0000
112	Spectrogram 1	1	358.000000	358.500000	0	0	5	cluster_5	0.9952
