umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,17,7.2,0.1296,285,57,5311,42.5,10.5,0.6952,0.4886,0.4246
2,100,18,17.6,0.4335,357,110,5211,42.5,10.8,0.6098,0.5945,0.5862
2,200,9,14.8,0.3549,628,322,5169,42.4,10.9,0.6258,0.4746,0.3976
5,50,20,13.2,0.4681,318,59,5214,45.9,8.2,0.6458,0.6042,0.5917
5,100,15,14.9,0.3669,594,126,5225,25.6,0.7,0.6371,0.6146,0.5915
5,200,9,15.9,0.3604,646,328,5211,26.1,0.9,0.6194,0.4794,0.4014
10,50,15,11.6,0.4055,507,63,5221,27.7,0.9,0.6595,0.5699,0.5254
10,100,8,2.6,0.0837,1233,123,5684,26.9,0.8,0.7358,0.4596,0.3725
10,200,11,18.3,0.3955,825,288,5224,27.1,1.0,0.6065,0.5896,0.5432
15,50,8,1.1,0.5016,517,62,5238,28.0,0.7,0.7442,0.3956,0.3035
15,100,7,1.0,0.2666,1293,118,5648,27.9,1.1,0.7434,0.4161,0.3254
15,200,4,1.2,0.2125,4839,323,6429,27.8,1.0,0.7409,0.2929,0.2065
20,50,9,1.8,0.4,709,63,5227,30.2,0.7,0.7384,0.4564,0.3674
20,100,15,12.8,0.3657,600,113,5224,31.5,0.8,0.6491,0.6066,0.582
20,200,4,1.3,0.2221,4834,324,6426,35.0,1.5,0.7405,0.2936,0.207
30,50,15,11.9,0.3054,464,64,5205,39.2,1.7,0.6577,0.5737,0.5292
30,100,14,14.4,0.3543,665,120,5212,28.2,0.8,0.6411,0.6139,0.5841
30,200,4,1.3,0.1021,4835,324,6420,27.1,0.8,0.7401,0.2932,0.2067
