umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,39,15.9,0.3623,777,53,7754,96.8,7.9,0.6887,0.6105,0.6361
2,100,32,17.2,0.1524,1170,169,5895,87.7,11.9,0.6931,0.6265,0.6583
2,200,29,17.7,0.2896,1283,247,4934,87.7,12.4,0.6978,0.6247,0.6606
5,50,47,29.4,0.1758,307,50,6096,104.6,8.1,0.6214,0.6811,0.7181
5,100,34,25.8,0.3775,796,112,5975,82.3,2.4,0.6356,0.6712,0.7002
5,200,12,7.7,0.5971,2607,254,20213,84.2,3.2,0.6941,0.5242,0.4577
10,50,28,17.7,0.2718,807,71,10183,89.6,2.7,0.7101,0.6068,0.5842
10,100,32,25.9,0.2279,956,112,5988,88.0,3.4,0.6264,0.6711,0.6982
10,200,3,0.0,0.5054,17833,1263,47432,102.0,4.3,0.7489,0.2677,0.1706
15,50,31,16.4,0.3874,673,62,8765,110.8,3.3,0.6663,0.6152,0.6128
15,100,33,25.3,0.2997,945,112,5783,109.0,3.5,0.6376,0.6705,0.6984
15,200,10,3.1,0.0639,2342,211,43935,115.5,7.1,0.7308,0.4699,0.3574
20,50,15,3.1,0.058,292,70,46867,115.1,3.6,0.7281,0.4267,0.3168
20,100,33,24.8,0.1829,927,106,5831,113.1,4.3,0.648,0.6648,0.6911
20,200,20,17.7,0.447,1268,228,17843,112.4,4.9,0.6867,0.5586,0.5121
30,50,14,2.7,0.3734,281,74,46905,136.3,4.1,0.7309,0.4272,0.3124
30,100,36,26.2,0.29,955,103,5322,108.9,4.1,0.6271,0.6601,0.7022
30,200,20,18.4,0.3052,1471,235,17830,107.4,4.3,0.669,0.5456,0.5049
