umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,42,16.3,0.3244,531,51,7618,77.9,6.6
2,100,35,16.7,0.2216,1150,168,6257,77.2,7.4
2,200,20,8.7,0.1939,1626,232,20702,59.7,1.9
5,50,31,16.7,0.2759,350,60,11868,73.2,3.7
5,100,34,25.5,0.1831,910,114,5974,76.3,2.0
5,200,18,14.2,0.419,2114,251,20569,74.7,2.7
10,50,41,25.3,0.2941,670,68,5244,76.6,2.2
10,100,34,25.4,0.2355,971,108,5340,75.6,2.5
10,200,24,22.0,0.1875,1857,232,6191,77.9,3.2
15,50,40,25.5,0.3388,413,53,8376,84.3,2.7
15,100,30,22.8,0.2199,911,113,8483,87.9,2.8
15,200,20,20.3,0.3621,1420,230,17842,84.9,3.6
20,50,39,22.7,0.2901,520,50,8246,88.4,3.2
20,100,35,27.7,0.1518,911,105,5760,86.3,3.3
20,200,25,23.4,0.1641,1635,228,5900,88.5,4.1
30,50,15,2.4,0.2035,290,76,46907,107.2,3.8
30,100,33,24.4,0.2853,1071,103,6255,107.7,4.2
30,200,22,19.2,0.0965,2159,235,6123,101.6,4.5
