umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,16,6.5,0.4028,516,71,2025,32.1,0.2
2,100,14,11.3,0.3759,634,100,2033,31.8,0.3
2,200,5,1.4,0.442,1188,267,7066,9.6,0.4
5,50,16,9.3,0.5031,358,52,2720,11.3,0.3
5,100,8,1.8,0.2154,663,266,6006,11.0,0.3
5,200,11,9.7,0.3163,628,266,1971,10.8,0.5
10,50,13,7.8,0.5175,638,66,2724,11.7,0.3
10,100,13,10.4,0.3588,671,161,1933,11.9,0.4
10,200,11,10.0,0.3266,634,261,1955,11.8,0.5
15,50,15,8.6,0.6071,406,65,2721,12.6,0.4
15,100,12,9.7,0.5887,675,173,2721,12.7,0.4
15,200,10,9.3,0.4468,611,260,2721,12.4,0.6
20,50,15,9.7,0.6285,430,66,2722,12.2,0.4
20,100,14,12.0,0.4677,581,159,1942,12.5,0.6
20,200,11,9.5,0.3109,642,254,2007,13.1,0.7
30,50,5,0.0,0.5935,1033,268,6792,14.9,0.5
30,100,14,10.8,0.5145,578,160,2002,14.2,0.7
30,200,11,9.7,0.3292,642,257,2014,14.7,0.8
