umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,14,3.5,0.2847,584,65,2113,35.8,0.2,0.8591,0.6688,0.6273
2,100,14,11.5,0.3389,560,208,1881,35.7,0.2,0.7848,0.6883,0.6661
2,200,12,12.3,0.4487,518,254,1921,36.4,0.3,0.7815,0.683,0.6372
5,50,13,5.9,0.3266,641,66,2721,37.7,0.2,0.8347,0.6191,0.5592
5,100,13,8.2,0.3542,752,161,1924,15.1,0.3,0.8158,0.6717,0.6383
5,200,11,9.7,0.3093,631,262,1968,15.5,0.4,0.8033,0.666,0.6104
10,50,15,8.5,0.5452,422,67,2723,15.2,0.3,0.8113,0.6403,0.5934
10,100,15,11.3,0.4143,564,103,2003,15.1,0.4,0.7894,0.6999,0.6821
10,200,11,10.9,0.3229,618,255,1984,16.0,0.5,0.7927,0.6664,0.6107
15,50,5,0.0,0.6389,1033,267,6793,18.4,0.7,0.8894,0.4201,0.2958
15,100,6,0.2,0.3786,1141,267,6755,19.1,0.9,0.8876,0.4784,0.3542
15,200,11,8.9,0.5191,626,258,2015,19.6,1.0,0.8106,0.6589,0.603
20,50,15,9.7,0.5771,416,67,2726,21.9,0.5,0.8005,0.6458,0.5978
20,100,14,11.4,0.5298,620,166,1926,21.2,0.5,0.7877,0.6982,0.6772
20,200,11,10.5,0.4877,617,257,1974,24.8,1.2,0.796,0.6653,0.6096
30,50,15,9.9,0.6126,420,67,2717,27.1,0.5,0.7979,0.6423,0.5936
30,100,5,0.0,0.5142,1033,267,6798,16.5,0.5,0.8894,0.4201,0.2959
30,200,11,10.5,0.331,599,255,2044,16.9,0.7,0.7957,0.6622,0.6065
