Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
1	Spectrogram 1	1	0.000000	1.000000	0	0	noise	cluster_noise	0.0000
2	Spectrogram 1	1	0.750000	2.500000	0	0	5	cluster_5	0.8145
3	Spectrogram 1	1	2.250000	3.000000	0	0	noise	cluster_noise	0.0000
4	Spectrogram 1	1	2.750000	8.000000	0	0	5	cluster_5	0.9532
5	Spectrogram 1	1	7.750000	8.500000	0	0	noise	cluster_noise	0.0000
6	Spectrogram 1	1	8.250000	14.000000	0	0	5	cluster_5	0.8927
7	Spectrogram 1	1	13.750000	14.250000	0	0	noise	cluster_noise	0.0000
8	Spectrogram 1	1	14.000000	20.000000	0	0	5	cluster_5	0.8644
9	Spectrogram 1	1	19.750000	20.750000	0	0	1	cluster_1	1.0000
10	Spectrogram 1	1	20.500000	25.500000	0	0	5	cluster_5	0.9091
11	Spectrogram 1	1	25.250000	26.000000	0	0	1	cluster_1	1.0000
12	Spectrogram 1	1	25.750000	27.000000	0	0	5	cluster_5	0.9453
13	Spectrogram 1	1	26.750000	27.250000	0	0	noise	cluster_noise	0.0000
14	Spectrogram 1	1	27.000000	27.500000	0	0	1	cluster_1	0.7008
15	Spectrogram 1	1	27.250000	28.000000	0	0	noise	cluster_noise	0.0000
16	Spectrogram 1	1	27.750000	29.000000	0	0	5	cluster_5	0.9966
17	Spectrogram 1	1	28.750000	29.750000	0	0	noise	cluster_noise	0.0000
18	Spectrogram 1	1	29.500000	31.500000	0	0	5	cluster_5	0.8915
19	Spectrogram 1	1	31.250000	32.000000	0	0	noise	cluster_noise	0.0000
20	Spectrogram 1	1	31.750000	34.750000	0	0	5	cluster_5	0.9837
21	Spectrogram 1	1	34.500000	35.000000	0	0	noise	cluster_noise	0.0000
22	Spectrogram 1	1	34.750000	35.250000	0	0	1	cluster_1	0.8875
23	Spectrogram 1	1	35.000000	35.500000	0	0	noise	cluster_noise	0.0000
24	Spectrogram 1	1	35.250000	38.000000	0	0	5	cluster_5	0.8944
25	Spectrogram 1	1	37.750000	38.250000	0	0	noise	cluster_noise	0.0000
26	Spectrogram 1	1	38.000000	44.500000	0	0	5	cluster_5	0.9107
27	Spectrogram 1	1	44.250000	44.750000	0	0	noise	cluster_noise	0.0000
28	Spectrogram 1	1	44.500000	58.250000	0	0	5	cluster_5	0.8540
29	Spectrogram 1	1	58.000000	58.500000	0	0	noise	cluster_noise	0.0000
30	Spectrogram 1	1	58.250000	61.750000	0	0	5	cluster_5	0.8958
31	Spectrogram 1	1	61.500000	62.000000	0	0	noise	cluster_noise	0.0000
32	Spectrogram 1	1	61.750000	73.000000	0	0	5	cluster_5	0.9145
33	Spectrogram 1	1	72.750000	73.500000	0	0	noise	cluster_noise	0.0000
34	Spectrogram 1	1	73.250000	73.750000	0	0	5	cluster_5	0.6965
35	Spectrogram 1	1	73.500000	74.000000	0	0	noise	cluster_noise	0.0000
36	Spectrogram 1	1	73.750000	77.750000	0	0	5	cluster_5	0.8891
37	Spectrogram 1	1	77.500000	78.000000	0	0	noise	cluster_noise	0.0000
38	Spectrogram 1	1	77.750000	85.250000	0	0	5	cluster_5	0.9051
39	Spectrogram 1	1	85.000000	85.500000	0	0	noise	cluster_noise	0.0000
40	Spectrogram 1	1	85.250000	102.750000	0	0	5	cluster_5	0.8911
41	Spectrogram 1	1	102.500000	103.000000	0	0	noise	cluster_noise	0.0000
42	Spectrogram 1	1	102.750000	108.000000	0	0	5	cluster_5	0.9115
43	Spectrogram 1	1	107.750000	108.500000	0	0	noise	cluster_noise	0.0000
44	Spectrogram 1	1	108.250000	111.750000	0	0	5	cluster_5	0.9339
45	Spectrogram 1	1	111.500000	112.500000	0	0	noise	cluster_noise	0.0000
46	Spectrogram 1	1	112.250000	113.500000	0	0	5	cluster_5	0.9482
47	Spectrogram 1	1	113.250000	113.750000	0	0	noise	cluster_noise	0.0000
48	Spectrogram 1	1	113.500000	114.000000	0	0	5	cluster_5	0.6419
49	Spectrogram 1	1	113.750000	115.000000	0	0	noise	cluster_noise	0.0000
50	Spectrogram 1	1	114.750000	116.000000	0	0	5	cluster_5	0.8943
51	Spectrogram 1	1	115.750000	117.000000	0	0	noise	cluster_noise	0.0000
52	Spectrogram 1	1	116.750000	118.750000	0	0	5	cluster_5	0.9318
53	Spectrogram 1	1	118.500000	119.250000	0	0	noise	cluster_noise	0.0000
54	Spectrogram 1	1	119.000000	120.000000	0	0	5	cluster_5	0.9622
55	Spectrogram 1	1	119.750000	121.750000	0	0	noise	cluster_noise	0.0000
56	Spectrogram 1	1	121.500000	122.750000	0	0	5	cluster_5	0.9666
57	Spectrogram 1	1	122.500000	123.000000	0	0	noise	cluster_noise	0.0000
58	Spectrogram 1	1	122.750000	125.500000	0	0	5	cluster_5	0.9094
59	Spectrogram 1	1	125.250000	126.000000	0	0	noise	cluster_noise	0.0000
60	Spectrogram 1	1	125.750000	127.750000	0	0	5	cluster_5	0.8927
61	Spectrogram 1	1	127.500000	128.000000	0	0	noise	cluster_noise	0.0000
62	Spectrogram 1	1	127.750000	131.000000	0	0	5	cluster_5	0.8650
63	Spectrogram 1	1	130.750000	131.500000	0	0	noise	cluster_noise	0.0000
64	Spectrogram 1	1	131.250000	133.750000	0	0	5	cluster_5	0.9972
65	Spectrogram 1	1	133.500000	134.250000	0	0	noise	cluster_noise	0.0000
66	Spectrogram 1	1	134.000000	137.750000	0	0	5	cluster_5	0.8379
67	Spectrogram 1	1	137.500000	138.000000	0	0	noise	cluster_noise	0.0000
68	Spectrogram 1	1	137.750000	139.500000	0	0	5	cluster_5	0.8627
69	Spectrogram 1	1	139.250000	140.750000	0	0	noise	cluster_noise	0.0000
70	Spectrogram 1	1	140.500000	141.500000	0	0	5	cluster_5	0.7962
71	Spectrogram 1	1	141.250000	141.750000	0	0	noise	cluster_noise	0.0000
72	Spectrogram 1	1	141.500000	144.000000	0	0	5	cluster_5	0.8728
73	Spectrogram 1	1	143.750000	144.750000	0	0	noise	cluster_noise	0.0000
74	Spectrogram 1	1	144.500000	145.000000	0	0	1	cluster_1	1.0000
75	Spectrogram 1	1	144.750000	145.250000	0	0	noise	cluster_noise	0.0000
76	Spectrogram 1	1	145.000000	145.750000	0	0	5	cluster_5	0.9724
77	Spectrogram 1	1	145.500000	146.250000	0	0	1	cluster_1	1.0000
78	Spectrogram 1	1	146.000000	148.000000	0	0	5	cluster_5	0.8761
79	Spectrogram 1	1	147.750000	148.500000	0	0	noise	cluster_noise	0.0000
80	Spectrogram 1	1	148.250000	153.000000	0	0	5	cluster_5	0.9274
81	Spectrogram 1	1	152.750000	153.500000	0	0	noise	cluster_noise	0.0000
82	Spectrogram 1	1	153.250000	160.750000	0	0	5	cluster_5	0.9248
83	Spectrogram 1	1	160.500000	161.000000	0	0	noise	cluster_noise	0.0000
84	Spectrogram 1	1	160.750000	163.000000	0	0	5	cluster_5	0.8732
85	Spectrogram 1	1	162.750000	163.250000	0	0	noise	cluster_noise	0.0000
86	Spectrogram 1	1	163.000000	181.750000	0	0	5	cluster_5	0.8901
87	Spectrogram 1	1	181.500000	182.250000	0	0	noise	cluster_noise	0.0000
88	Spectrogram 1	1	182.000000	183.000000	0	0	5	cluster_5	0.8039
89	Spectrogram 1	1	182.750000	183.250000	0	0	noise	cluster_noise	0.0000
90	Spectrogram 1	1	183.000000	189.250000	0	0	5	cluster_5	0.9352
91	Spectrogram 1	1	189.000000	189.750000	0	0	noise	cluster_noise	0.0000
92	Spectrogram 1	1	189.500000	197.750000	0	0	5	cluster_5	0.9528
93	Spectrogram 1	1	197.500000	198.000000	0	0	noise	cluster_noise	0.0000
94	Spectrogram 1	1	197.750000	200.000000	0	0	5	cluster_5	0.7682
95	Spectrogram 1	1	199.750000	200.250000	0	0	noise	cluster_noise	0.0000
96	Spectrogram 1	1	200.000000	201.250000	0	0	5	cluster_5	0.8315
97	Spectrogram 1	1	201.000000	201.500000	0	0	4	cluster_4	0.7171
98	Spectrogram 1	1	201.250000	205.000000	0	0	5	cluster_5	0.8079
99	Spectrogram 1	1	204.750000	205.250000	0	0	noise	cluster_noise	0.0000
100	Spectrogram 1	1	205.000000	208.250000	0	0	5	cluster_5	0.8936
101	Spectrogram 1	1	208.000000	208.750000	0	0	noise	cluster_noise	0.0000
102	Spectrogram 1	1	208.500000	209.500000	0	0	5	cluster_5	0.7972
103	Spectrogram 1	1	209.250000	209.750000	0	0	noise	cluster_noise	0.0000
104	Spectrogram 1	1	209.500000	212.250000	0	0	5	cluster_5	0.9078
105	Spectrogram 1	1	212.000000	212.500000	0	0	noise	cluster_noise	0.0000
106	Spectrogram 1	1	212.250000	212.750000	0	0	5	cluster_5	0.6131
107	Spectrogram 1	1	212.500000	213.250000	0	0	noise	cluster_noise	0.0000
108	Spectrogram 1	1	213.000000	214.500000	0	0	5	cluster_5	0.9437
109	Spectrogram 1	1	214.250000	214.750000	0	0	noise	cluster_noise	0.0000
110	Spectrogram 1	1	214.500000	215.750000	0	0	5	cluster_5	0.8291
111	Spectrogram 1	1	215.500000	216.500000	0	0	noise	cluster_noise	0.0000
112	Spectrogram 1	1	216.250000	217.500000	0	0	5	cluster_5	0.8313
113	Spectrogram 1	1	217.250000	218.000000	0	0	noise	cluster_noise	0.0000
114	Spectrogram 1	1	217.750000	222.500000	0	0	5	cluster_5	0.8636
115	Spectrogram 1	1	222.250000	222.750000	0	0	noise	cluster_noise	0.0000
116	Spectrogram 1	1	222.500000	230.250000	0	0	5	cluster_5	0.9367
117	Spectrogram 1	1	230.000000	230.750000	0	0	noise	cluster_noise	0.0000
118	Spectrogram 1	1	230.500000	236.000000	0	0	5	cluster_5	0.9483
119	Spectrogram 1	1	235.750000	236.500000	0	0	1	cluster_1	1.0000
120	Spectrogram 1	1	236.250000	236.750000	0	0	noise	cluster_noise	0.0000
121	Spectrogram 1	1	236.500000	237.250000	0	0	5	cluster_5	0.9285
122	Spectrogram 1	1	237.000000	237.750000	0	0	noise	cluster_noise	0.0000
123	Spectrogram 1	1	237.500000	240.000000	0	0	5	cluster_5	0.8431
124	Spectrogram 1	1	239.750000	240.250000	0	0	noise	cluster_noise	0.0000
125	Spectrogram 1	1	240.000000	248.250000	0	0	5	cluster_5	0.9266
126	Spectrogram 1	1	248.000000	248.500000	0	0	noise	cluster_noise	0.0000
127	Spectrogram 1	1	248.250000	251.250000	0	0	5	cluster_5	0.8484
128	Spectrogram 1	1	251.000000	252.000000	0	0	noise	cluster_noise	0.0000
129	Spectrogram 1	1	251.750000	254.750000	0	0	5	cluster_5	0.9602
130	Spectrogram 1	1	254.500000	256.250000	0	0	noise	cluster_noise	0.0000
131	Spectrogram 1	1	256.000000	257.750000	0	0	5	cluster_5	0.9188
132	Spectrogram 1	1	257.500000	258.250000	0	0	noise	cluster_noise	0.0000
133	Spectrogram 1	1	258.000000	258.750000	0	0	5	cluster_5	0.8536
134	Spectrogram 1	1	258.500000	259.500000	0	0	noise	cluster_noise	0.0000
135	Spectrogram 1	1	259.250000	261.000000	0	0	5	cluster_5	0.9250
136	Spectrogram 1	1	260.750000	261.750000	0	0	noise	cluster_noise	0.0000
137	Spectrogram 1	1	261.500000	262.000000	0	0	5	cluster_5	0.8771
138	Spectrogram 1	1	261.750000	262.750000	0	0	noise	cluster_noise	0.0000
139	Spectrogram 1	1	262.500000	263.250000	0	0	5	cluster_5	0.7309
140	Spectrogram 1	1	263.000000	264.000000	0	0	noise	cluster_noise	0.0000
141	Spectrogram 1	1	263.750000	265.750000	0	0	9	cluster_9	0.9583
142	Spectrogram 1	1	265.500000	266.500000	0	0	noise	cluster_noise	0.0000
143	Spectrogram 1	1	266.250000	267.250000	0	0	1	cluster_1	1.0000
144	Spectrogram 1	1	267.000000	267.500000	0	0	noise	cluster_noise	0.0000
145	Spectrogram 1	1	267.250000	269.000000	0	0	5	cluster_5	0.8230
146	Spectrogram 1	1	268.750000	269.500000	0	0	noise	cluster_noise	0.0000
147	Spectrogram 1	1	269.250000	271.250000	0	0	1	cluster_1	1.0000
148	Spectrogram 1	1	271.000000	271.750000	0	0	5	cluster_5	0.7409
149	Spectrogram 1	1	271.500000	272.250000	0	0	noise	cluster_noise	0.0000
150	Spectrogram 1	1	272.000000	274.000000	0	0	1	cluster_1	1.0000
151	Spectrogram 1	1	273.750000	275.250000	0	0	5	cluster_5	0.9176
152	Spectrogram 1	1	275.000000	276.000000	0	0	noise	cluster_noise	0.0000
153	Spectrogram 1	1	275.750000	278.000000	0	0	9	cluster_9	0.9597
154	Spectrogram 1	1	277.750000	278.250000	0	0	noise	cluster_noise	0.0000
155	Spectrogram 1	1	278.000000	278.750000	0	0	9	cluster_9	0.9964
156	Spectrogram 1	1	278.500000	280.250000	0	0	1	cluster_1	1.0000
157	Spectrogram 1	1	280.000000	280.750000	0	0	noise	cluster_noise	0.0000
158	Spectrogram 1	1	280.500000	281.750000	0	0	5	cluster_5	0.9218
159	Spectrogram 1	1	281.500000	282.000000	0	0	9	cluster_9	0.8543
160	Spectrogram 1	1	281.750000	282.250000	0	0	noise	cluster_noise	0.0000
