umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,32,10.8,0.4726,241,52,30159,53.7,1.9
2,100,18,6.7,0.464,815,150,30581,54.3,2.0
2,200,13,3.9,0.379,954,215,30561,43.8,1.1
5,50,12,5.4,0.047,756,135,28897,46.1,1.2
5,100,21,20.2,0.239,900,159,26686,45.8,1.4
5,200,18,22.7,0.1837,1106,236,25298,45.7,2.0
10,50,26,12.6,0.3783,258,62,26417,48.2,1.4
10,100,23,23.0,0.1401,877,156,27040,48.7,1.6
10,200,9,9.7,0.2404,1776,236,25326,50.1,2.1
15,50,38,22.5,0.4552,244,50,27032,53.5,1.6
15,100,28,36.6,0.1946,970,161,7370,52.4,1.8
15,200,18,24.3,0.1721,907,234,25453,52.7,2.3
20,50,39,24.2,0.2116,171,54,26446,57.4,1.7
20,100,20,19.7,0.1769,939,157,25734,56.9,2.0
20,200,16,19.5,0.2549,1188,234,25896,57.2,2.4
30,50,20,14.9,0.5975,909,60,27207,67.3,2.5
30,100,14,13.0,0.1645,1550,164,25744,60.7,2.5
30,200,14,20.5,0.0616,1442,236,25571,58.4,3.0
