umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,70,20.7,0.1897,188,51,5720,85.6,10.6,0.7102,0.6638,0.7307
2,100,38,16.7,0.3112,712,119,5728,85.8,10.6,0.7418,0.6842,0.723
2,200,21,9.6,0.2969,2313,202,15311,85.7,11.4,0.7621,0.6732,0.675
5,50,68,28.4,0.256,229,50,4597,103.5,7.8,0.6499,0.6757,0.7651
5,100,31,16.7,0.2559,1134,107,7809,79.7,3.4,0.7413,0.6997,0.7165
5,200,28,19.2,0.2391,1398,240,7737,79.7,3.6,0.724,0.7023,0.7196
10,50,51,21.2,0.2718,304,54,14802,85.9,2.6,0.731,0.6456,0.6442
10,100,32,19.4,0.1906,1132,130,6715,85.1,3.1,0.7224,0.6975,0.7226
10,200,27,17.2,0.1387,1565,257,8140,95.3,3.9,0.7415,0.6892,0.71
15,50,8,0.6,0.3826,1586,304,42224,101.6,2.9,0.834,0.4117,0.2971
15,100,35,20.8,0.2801,646,127,6713,103.5,3.4,0.7152,0.7039,0.7347
15,200,9,2.3,0.1425,2635,262,42240,101.2,6.0,0.8221,0.4883,0.3682
20,50,45,18.9,0.1772,304,54,14752,111.8,3.3,0.7349,0.6322,0.6232
20,100,11,3.3,0.3189,1573,218,42234,109.6,3.9,0.8139,0.4871,0.3687
20,200,9,2.2,0.2478,2655,254,42234,109.9,4.8,0.823,0.489,0.3688
30,50,48,17.6,0.4192,265,51,14747,139.8,3.9,0.7398,0.6289,0.6247
30,100,34,20.0,0.1576,721,109,6611,110.6,3.8,0.728,0.702,0.728
30,200,23,16.3,0.2542,1566,243,7510,111.4,4.0,0.7488,0.6824,0.679
