umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,79,22.7,0.3558,192,50,5760,75.6,6.1
2,100,47,19.7,0.1322,398,108,5706,74.5,7.3
2,200,30,16.6,0.115,1327,228,7733,56.4,2.0
5,50,63,25.8,0.2561,224,52,5729,69.3,1.6
5,100,29,15.3,0.1657,1178,129,7702,68.2,1.9
5,200,26,15.3,0.3334,1546,247,8103,67.7,2.5
10,50,53,19.1,0.1791,280,58,14817,73.5,2.0
10,100,30,17.5,0.2452,976,131,11781,72.9,2.5
10,200,27,17.3,0.2725,1496,253,8159,74.3,3.1
15,50,39,16.2,0.1973,354,52,14764,83.4,2.4
15,100,34,21.2,0.1821,696,113,6683,82.5,3.0
15,200,26,20.0,0.2508,1542,249,7384,87.1,5.3
20,50,45,16.9,0.2129,274,50,14762,86.3,2.8
20,100,30,17.2,0.1578,1216,104,6815,85.1,4.9
20,200,25,18.1,0.2257,1574,259,7429,88.2,3.8
30,50,49,18.2,0.1456,325,53,11898,107.2,3.5
30,100,28,16.6,0.2863,1117,129,14750,105.7,4.0
30,200,27,19.8,0.2476,1516,238,7535,99.7,4.3
