umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,40,14.4,0.3765,197,57,4128,49.5,7.9
2,100,20,6.6,0.4396,1254,100,5494,50.6,6.9
2,200,15,10.9,0.3489,1691,514,5404,32.6,0.9
5,50,34,12.8,0.5659,251,82,4499,38.8,0.7
5,100,22,11.6,0.4899,834,107,4499,34.5,0.9
5,200,14,12.0,0.4535,1834,277,5476,34.8,1.3
10,50,27,10.8,0.4175,490,85,4498,37.3,1.0
10,100,20,11.4,0.4278,1079,103,4501,37.3,1.0
10,200,14,10.8,0.3851,1791,251,5462,37.6,1.4
15,50,33,14.6,0.4322,276,62,4486,39.5,1.2
15,100,23,12.5,0.4227,801,108,4486,39.6,1.1
15,200,12,9.6,0.4645,2195,801,5539,38.9,1.4
20,50,38,16.3,0.4225,221,60,4465,44.6,1.2
20,100,23,12.2,0.3594,802,109,4463,38.6,1.3
20,200,13,10.9,0.4276,1876,802,5482,45.9,1.7
30,50,27,11.7,0.3117,437,83,4491,49.4,1.5
30,100,21,10.0,0.5946,966,108,4491,46.6,1.6
30,200,11,5.3,0.3334,3047,801,5942,47.6,1.6
