umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,43,15.6,0.3497,184,51,3067,60.8,8.1,0.7913,0.6899,0.7293
2,100,27,12.4,0.1732,804,100,3067,61.6,8.8,0.8286,0.7049,0.7226
2,200,9,2.7,0.2127,1741,804,16107,60.3,8.8,0.8735,0.5877,0.4861
5,50,37,14.6,0.3527,227,52,4497,68.5,10.2,0.7942,0.6945,0.7103
5,100,19,10.3,0.4236,1149,150,4497,47.0,1.4,0.8325,0.6975,0.6757
5,200,14,9.1,0.2741,1858,278,5435,46.8,1.7,0.8162,0.6953,0.672
10,50,41,17.5,0.4461,216,54,4486,49.2,1.1,0.7687,0.6948,0.7192
10,100,21,10.9,0.4401,866,109,4470,47.0,1.7,0.8299,0.6952,0.6776
10,200,18,14.4,0.4103,1585,233,4431,49.6,1.8,0.8036,0.7132,0.7026
15,50,41,16.1,0.5207,219,61,4460,52.8,1.2,0.7809,0.6953,0.7279
15,100,21,9.8,0.4893,948,106,4497,51.1,1.4,0.8357,0.6897,0.6709
15,200,12,8.9,0.5606,2208,801,5388,50.4,2.9,0.818,0.6828,0.6454
20,50,27,11.4,0.3172,479,84,4491,49.7,1.4,0.8245,0.6957,0.6851
20,100,16,6.3,0.5082,1764,140,5463,49.3,1.6,0.8425,0.6825,0.6517
20,200,13,9.6,0.4445,1937,801,5577,50.1,2.2,0.8093,0.6963,0.6699
30,50,26,10.4,0.4838,547,83,4491,60.0,2.0,0.8329,0.6932,0.6793
30,100,21,10.7,0.4022,966,109,4491,50.9,1.5,0.8314,0.6934,0.6747
30,200,13,11.2,0.3631,1925,801,5246,50.6,1.5,0.7967,0.702,0.6755
