umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s
2,50,28,9.6,0.1569,464,64,7866,47.7,6.3
2,100,19,5.4,0.2731,651,109,10397,47.6,6.5
2,200,10,4.4,0.4517,662,280,12630,29.9,0.9
5,50,22,17.0,0.2352,642,73,6189,36.6,0.8
5,100,20,13.5,0.4505,644,108,10452,34.5,0.9
5,200,15,14.2,0.3608,1250,214,10438,34.3,1.2
10,50,24,22.3,0.2511,635,85,6191,38.5,1.0
10,100,16,11.4,0.4115,993,104,10316,38.3,1.2
10,200,12,9.6,0.564,1685,200,10529,38.5,1.5
15,50,26,18.5,0.3181,582,55,4992,40.8,1.1
15,100,16,10.8,0.4675,1008,103,10470,41.2,1.3
15,200,13,11.6,0.5768,1389,443,10470,40.8,1.5
20,50,10,3.1,0.5193,595,90,23781,40.7,1.3
20,100,4,0.0,0.403,4424,624,23781,41.0,1.3
20,200,5,2.5,0.4352,2553,624,23781,42.2,1.7
30,50,24,22.0,0.1838,633,82,6208,48.2,2.0
30,100,15,10.4,0.4692,1162,128,10373,47.9,1.7
30,200,4,0.0,0.2445,4373,624,23893,46.3,1.8
