umap_dims,mcs,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,homog
2,50,35,19.7,0.2907,542,65,2756,55.6,8.3,0.6812,0.6058,0.6481
2,100,28,17.2,0.2866,575,101,5739,55.4,8.7,0.7123,0.6006,0.6019
2,200,14,8.0,0.6359,763,394,10550,55.3,9.0,0.691,0.5821,0.5382
5,50,26,18.9,0.212,633,53,6178,64.8,8.9,0.6851,0.5903,0.5733
5,100,15,10.8,0.3988,1062,129,10455,44.4,1.2,0.6681,0.5788,0.5366
5,200,14,12.9,0.3344,1329,212,10494,44.8,1.9,0.6496,0.613,0.5829
10,50,26,17.8,0.4983,453,105,10491,49.0,1.2,0.6068,0.6149,0.6181
10,100,15,11.8,0.4537,1131,129,10380,45.5,2.1,0.6601,0.5797,0.5379
10,200,15,16.7,0.5351,1025,270,10404,54.1,1.9,0.6234,0.6255,0.6034
15,50,18,13.0,0.4857,750,51,10426,54.4,1.6,0.6483,0.5772,0.5365
15,100,4,0.0,0.4438,4420,626,23782,54.3,1.7,0.7492,0.342,0.23
15,200,5,1.5,0.3417,2548,626,23811,50.8,2.0,0.7399,0.3907,0.2733
20,50,19,10.5,0.4894,649,89,10375,55.5,1.8,0.6729,0.6087,0.5729
20,100,14,8.7,0.4334,1346,123,10297,54.7,2.0,0.6864,0.5774,0.5332
20,200,7,4.0,0.4853,1033,237,23857,53.2,2.4,0.7223,0.4003,0.2823
30,50,6,0.2,0.5343,1817,102,23791,64.8,3.6,0.7484,0.3781,0.263
30,100,5,0.1,0.4926,2545,100,23791,53.3,2.0,0.7487,0.3414,0.2305
30,200,13,10.7,0.373,1208,439,10592,53.0,2.1,0.666,0.5642,0.5186
